Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source,Wave,Status
Resurgent Venture Capital,VC,"Seed, Series A",,,,https://resurgentlegal.com,,SEBI AIF1; IN/AIF1/25-26/1788,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Revanta Growth Capital,PE,"Series B, Series C+",,,,https://revantacapital.com,,SEBI AIF2; IN/AIF2/25-26/1974,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
RGSL Investment,VC,"Seed, Series A",,,,https://rgslgroup.com,,SEBI AIF1; IN/AIF1/25-26/1964,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Rockstud Capital Investment,VC,"Seed, Series A",,,,https://rockstudcap.com,,SEBI AIF1; IN/AIF1/22-23/1217,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Roots Ventures,VC,"Seed, Series A",,,,https://roots-ventures.com,,"SEBI AIF1; IN/AIF1/20-21/0815, IN/AIF1/21-22/0996, IN/AIF2/18-19/0617",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Roving Partners Venture,VC,"Seed, Series A",,,,https://rovingpartners.com,,SEBI AIF1; IN/AIF1/25-26/2025,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Rvcf India Growth,PE,"Series B, Series C+",,,,https://rvcf.org,,SEBI AIF2; IN/AIF2/22-23/1191,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Sauce Capital,VC,"Seed, Series A",,,,https://sauce.vc,,SEBI AIF1; IN/AIF1/19-20/0700,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
SBI Macquarie Infrastructure,VC,"Seed, Series A",,,,https://macquarie.com,,"SEBI AIF1; IN/AIF1/25-26/1895, IN/VCF/10-11/0194",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Seafund Venture India,VC,"Seed, Series A",,,,https://seafund.in,,SEBI AIF2; IN/AIF2/22-23/1122,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Senseai Ventures,VC,"Seed, Series A",,,,https://senseai.ai,,SEBI AIF1; IN/AIF1/20-21/0817,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
