csv_index,first_name,last_name,full_name,company,company_domain,title,linkedin_url,twitter_url
485,Scott,Hartley,Scott Hartley,Everywhere Ventures,everywhere.vc,co-founder & GENERAL partner,https://www.linkedin.com/in/scotthartley,
486,Vinay,Bansal,Vinay Bansal,Inflection Point Ventures,ipventures.in,Founder - IPV,https://www.linkedin.com/in/vinay-bansal-383b035,
487,Ankur,Mittal,Ankur Mittal,Inflection Point Ventures,ipventures.in,Co - Founder - IPV,https://www.linkedin.com/in/ankur-mittal-3ba773,
489,Srikrishna,Dwaram,Srikrishna Dwaram,True North,truenorth.co.in,"Co-Managing Partner, Private Equity",https://www.linkedin.com/in/srikrishna-dwaram-37682a1,
490,Jacqueline,Novogratz,Jacqueline Novogratz,Acumen,acumen.org,Founder and CEO of Acumen,https://www.linkedin.com/in/jacqueline-novogratz,
491,Monica,Brand Engel,Monica Brand Engel,Quona Capital,quona.com,MANAGING PARTNER,https://www.linkedin.com/in/monicabrandengel,
492,Jonathan,Whittle,Jonathan Whittle,Quona Capital,quona.com,MANAGING PARTNER,https://www.linkedin.com/in/jonathan-whittle-5a06a,
493,Tilman,Ehrbeck,Tilman Ehrbeck,Flourish Ventures,flourishventures.com,Managing Partner,https://www.linkedin.com/in/tilman-ehrbeck,
494,Alice,Bentinck,Alice Bentinck,Entrepreneur First,joinef.com,Cofounder and CEO,https://www.linkedin.com/in/alicebentinck,
495,Matt,Clifford,Matt Clifford,Entrepreneur First,joinef.com,Cofounder and Chair,https://www.linkedin.com/in/mattcliffordef,
496,Magnus,Grimeland,Magnus Grimeland,Antler,antler.co,Founder & Chief Executive Officer,https://www.linkedin.com/in/magnusgrimeland,
497,Fady,Abdel-Nour,Fady Abdel-Nour,Antler,antler.co,Partner,https://www.linkedin.com/in/fady-abdel-nour-cfa-6345993,
498,Sean,O'Sullivan,Sean O'Sullivan,SOSV,sosv.com,"Managing General Partner, SOSV",https://www.linkedin.com/in/sean-sosv,
499,Cyril,Ebersweiler,Cyril Ebersweiler,SOSV,sosv.com,"General Partner, SOSV & Managing Director, HAX",https://www.linkedin.com/in/cyrilebersweiler,https://x.com/cebersweiler
500,Shane,Chesson,Shane Chesson,Openspace Ventures,openspace.vc,Founding Partner,https://www.linkedin.com/in/shanechesson,
501,Hian,Goh,Hian Goh,Openspace Ventures,openspace.vc,Founding Partner,https://www.linkedin.com/in/hiangoh-ai-investor,
502,Vinnie,Lauria,Vinnie Lauria,Golden Gate Ventures,goldengate.vc,Founding Partner,https://www.linkedin.com/in/vincentlauria,https://x.com/vlauria
503,Jeffrey,Paine,Jeffrey Paine,Golden Gate Ventures,goldengate.vc,Founding Partner,https://www.linkedin.com/in/jeffreypaine,
504,Bryan,Yeo,Bryan Yeo,GIC Private Limited,gic.com.sg,Group Chief Investment Officer,https://www.linkedin.com/in/bryanyeokm,
505,Lim,Chow Kiat,Lim Chow Kiat,GIC Private Limited,gic.com.sg,Chief Executive Officer,https://www.linkedin.com/in/limchowkiat,
506,Eric,Mogelof,Eric Mogelof,KKR,kkr.com,Head of Global Client Solutions,https://www.linkedin.com/in/ericmogelof,
507,James,Brocklebank,James Brocklebank,Advent International,adventinternational.com,Managing Partner,https://www.linkedin.com/in/jamesbrocklebank,
509,Frank,Ehmer,Frank Ehmer,Apax Partners,apax.com,Partner,https://www.linkedin.com/in/frank-ehmer-a31169,
510,Nedu,Ottih,Nedu Ottih,Apax Partners,apax.com,Partner,https://www.linkedin.com/in/nedu-ottih-1007208,
511,Quinn,Li,Quinn Li,Qualcomm Ventures,qualcommventures.com,Senior Vice President & Global Head of Qualcomm Ventures,https://www.linkedin.com/in/liquinn,
512,Rama,Bethmangalkar,Rama Bethmangalkar,Qualcomm Ventures,qualcommventures.com,"Managing Director, India",https://www.linkedin.com/in/rama-bethmangalkar-1664a4,
513,Anthony,Lin,Anthony Lin,Intel Capital,intelcapital.com,Head of Intel Capital Corporate Vice President,https://www.linkedin.com/in/anthony-lin-林立中-0818371,
514,Andy,Fligel,Andy Fligel,Intel Capital,intelcapital.com,Senior Managing Director,https://www.linkedin.com/in/andy-fligel-018797,
515,Michelle,Gonzalez,Michelle Gonzalez,M12,m12.vc,"Corporate Vice President and Global Head, M12",https://www.linkedin.com/in/michellehgonzalez,
