slug,name,type,url
"menterra-ventures","Menterra Ventures","Venture Capital","https://vcdekho.com/funds/menterra-ventures"
"sharrp-ventures-harsh-mariwala-investment-office","Sharrp Ventures | Harsh Mariwala Investment Office","Family Office","https://vcdekho.com/funds/sharrp-ventures-harsh-mariwala-investment-office"
"omidyar-network-india","Omidyar Network India","Venture Capital","https://vcdekho.com/funds/omidyar-network-india"
"beyond-capital-ventures","Beyond Capital Ventures","Venture Capital","https://vcdekho.com/funds/beyond-capital-ventures"
"social-capital","Social Capital","Venture Capital","https://vcdekho.com/funds/social-capital"
"gaja-capital","Gaja Capital","Private Equity","https://vcdekho.com/funds/gaja-capital"
"kedaara-capital","Kedaara Capital","Private Equity","https://vcdekho.com/funds/kedaara-capital"
"chryscapital","ChrysCapital","Private Equity","https://vcdekho.com/funds/chryscapital"
"everstone-group","Everstone Group","Private Equity","https://vcdekho.com/funds/everstone-group"
"ascent-capital","Ascent Capital","Private Equity","https://vcdekho.com/funds/ascent-capital"
"burman-family-holdings","Burman Family Holdings","Family Office","https://vcdekho.com/funds/burman-family-holdings"
"narotam-sekhsaria-family-office","Narotam Sekhsaria Family Office","Family Office","https://vcdekho.com/funds/narotam-sekhsaria-family-office"
"samara-capital","Samara Capital","Private Equity","https://vcdekho.com/funds/samara-capital"
"chona-family-office","Chona Family Office","Family Office","https://vcdekho.com/funds/chona-family-office"
"mga-ventures","MGA Ventures","Venture Capital","https://vcdekho.com/funds/mga-ventures"
"madison-india-capital","Madison India Capital","Private Equity","https://vcdekho.com/funds/madison-india-capital"
"beenext","BEENEXT","Venture Capital","https://vcdekho.com/funds/beenext"
"vertex-ventures-se-asia-and-india","Vertex Ventures SE Asia & India","Venture Capital","https://vcdekho.com/funds/vertex-ventures-se-asia-and-india"
"east-ventures","East Ventures","Venture Capital","https://vcdekho.com/funds/east-ventures"
"peercapital","PeerCapital","Venture Capital","https://vcdekho.com/funds/peercapital"
"the-venture-folks","The Venture Folks","Venture Capital","https://vcdekho.com/funds/the-venture-folks"
"rpsg-capital-ventures","RPSG Capital Ventures","Family Office","https://vcdekho.com/funds/rpsg-capital-ventures"
"gvfl-limited","GVFL Limited","Venture Capital","https://vcdekho.com/funds/gvfl-limited"
"marwari-catalysts","Marwari Catalysts","Accelerator","https://vcdekho.com/funds/marwari-catalysts"
"ah-ventures","ah! Ventures","Syndicate / Network","https://vcdekho.com/funds/ah-ventures"
"tanas-capital","Tanas Capital","Venture Capital","https://vcdekho.com/funds/tanas-capital"
"echai-ventures","eChai Ventures","Angel / Individual","https://vcdekho.com/funds/echai-ventures"
"venturestudio","VentureStudio","Accelerator","https://vcdekho.com/funds/venturestudio"
"gusec","GUSEC","Accelerator","https://vcdekho.com/funds/gusec"
"axilor-ventures","Axilor Ventures","Accelerator","https://vcdekho.com/funds/axilor-ventures"
"ventureast","VenturEast","Venture Capital","https://vcdekho.com/funds/ventureast"
"aum-ventures","AUM Ventures","Venture Capital","https://vcdekho.com/funds/aum-ventures"
"ribbit-capital","Ribbit Capital","Venture Capital","https://vcdekho.com/funds/ribbit-capital"
"index-ventures","Index Ventures","Venture Capital","https://vcdekho.com/funds/index-ventures"
"cherry-ventures","Cherry Ventures","Venture Capital","https://vcdekho.com/funds/cherry-ventures"
"upfront-ventures","Upfront Ventures","Venture Capital","https://vcdekho.com/funds/upfront-ventures"
"tventures","TVentures","Venture Capital","https://vcdekho.com/funds/tventures"
"foster-ventures","Foster Ventures","Venture Capital","https://vcdekho.com/funds/foster-ventures"
"b-capital","B Capital","Venture Capital","https://vcdekho.com/funds/b-capital"
"valia-ventures","Valia Ventures","Venture Capital","https://vcdekho.com/funds/valia-ventures"
"2048-ventures","2048 Ventures","Venture Capital","https://vcdekho.com/funds/2048-ventures"
"alfa-ventures","Alfa Ventures","Venture Capital","https://vcdekho.com/funds/alfa-ventures"
"auxano-capital","Auxano Capital","Venture Capital","https://vcdekho.com/funds/auxano-capital"
"m-venture-partners-mvp","M Venture Partners (MVP)","Venture Capital","https://vcdekho.com/funds/m-venture-partners-mvp"
"saison-capital","Saison Capital","Venture Capital","https://vcdekho.com/funds/saison-capital"
"monk-s-hill-venture","Monk's Hill Venture","Venture Capital","https://vcdekho.com/funds/monk-s-hill-venture"
"integra-partners","Integra Partners","Venture Capital","https://vcdekho.com/funds/integra-partners"
"momentum-capital","Momentum Capital","Venture Capital","https://vcdekho.com/funds/momentum-capital"
"ac-ventures","AC Ventures","Venture Capital","https://vcdekho.com/funds/ac-ventures"
"everywhere-ventures","Everywhere Ventures","Venture Capital","https://vcdekho.com/funds/everywhere-ventures"
"mana-ventures","Mana Ventures","Venture Capital","https://vcdekho.com/funds/mana-ventures"
"silicon-valley-quad-svq","Silicon Valley Quad (SVQ)","Venture Capital","https://vcdekho.com/funds/silicon-valley-quad-svq"
"hustle-fund","Hustle Fund","Venture Capital","https://vcdekho.com/funds/hustle-fund"
"dexter-ventures","Dexter Ventures","Angel / Individual","https://vcdekho.com/funds/dexter-ventures"
"n-1-capital","N+1 Capital","Venture Capital","https://vcdekho.com/funds/n-1-capital"
"superscout","Superscout","Venture Capital","https://vcdekho.com/funds/superscout"
"anay-ventures","Anay Ventures","Venture Capital","https://vcdekho.com/funds/anay-ventures"
"waterbridge-ventures","WaterBridge Ventures","Venture Capital","https://vcdekho.com/funds/waterbridge-ventures"
"sri-capital","SRI Capital","Venture Capital","https://vcdekho.com/funds/sri-capital"
"force-ventures","Force Ventures","Venture Capital","https://vcdekho.com/funds/force-ventures"
"inflection-point-ventures","Inflection Point Ventures","Venture Capital","https://vcdekho.com/funds/inflection-point-ventures"
"9unicorns","9Unicorns","Accelerator","https://vcdekho.com/funds/9unicorns"
"letsventure","LetsVenture","Syndicate / Network","https://vcdekho.com/funds/letsventure"
"mumbai-angels-network","Mumbai Angels Network","Syndicate / Network","https://vcdekho.com/funds/mumbai-angels-network"
"hyderabad-angels","Hyderabad Angels","Syndicate / Network","https://vcdekho.com/funds/hyderabad-angels"
"lead-angels","Lead Angels","Syndicate / Network","https://vcdekho.com/funds/lead-angels"
"calcutta-angels-network","Calcutta Angels Network","Syndicate / Network","https://vcdekho.com/funds/calcutta-angels-network"
"native-smart-capital","Native Smart Capital","Venture Capital","https://vcdekho.com/funds/native-smart-capital"
"info-edge-ventures","Info Edge Ventures","Corporate / CVC","https://vcdekho.com/funds/info-edge-ventures"
"flipkart-ventures","Flipkart Ventures","Corporate / CVC","https://vcdekho.com/funds/flipkart-ventures"
"jiogennext","JioGenNext","Accelerator","https://vcdekho.com/funds/jiogennext"
"reliance-ventures","Reliance Ventures","Corporate / CVC","https://vcdekho.com/funds/reliance-ventures"
"mahindra-partners","Mahindra Partners","Corporate / CVC","https://vcdekho.com/funds/mahindra-partners"
"sidbi-venture-capital","SIDBI Venture Capital","Venture Capital","https://vcdekho.com/funds/sidbi-venture-capital"
"canbank-venture-capital-fund","Canbank Venture Capital Fund","Venture Capital","https://vcdekho.com/funds/canbank-venture-capital-fund"
"ifci-venture-capital-funds","IFCI Venture Capital Funds","Venture Capital","https://vcdekho.com/funds/ifci-venture-capital-funds"
"true-north","True North","Private Equity","https://vcdekho.com/funds/true-north"
"icici-venture","ICICI Venture","Private Equity","https://vcdekho.com/funds/icici-venture"
"kotak-private-equity","Kotak Private Equity","Private Equity","https://vcdekho.com/funds/kotak-private-equity"
"acumen","Acumen","Venture Capital","https://vcdekho.com/funds/acumen"
"patamar-capital","Patamar Capital","Venture Capital","https://vcdekho.com/funds/patamar-capital"
"quona-capital","Quona Capital","Venture Capital","https://vcdekho.com/funds/quona-capital"
"flourish-ventures","Flourish Ventures","Venture Capital","https://vcdekho.com/funds/flourish-ventures"
"greyhound-capital","Greyhound Capital","Venture Capital","https://vcdekho.com/funds/greyhound-capital"
"steadview-capital","Steadview Capital","Venture Capital","https://vcdekho.com/funds/steadview-capital"
"rebright-partners","Rebright Partners","Venture Capital","https://vcdekho.com/funds/rebright-partners"
"entrepreneur-first","Entrepreneur First","Accelerator","https://vcdekho.com/funds/entrepreneur-first"
"antler","Antler","Accelerator","https://vcdekho.com/funds/antler"
"surge","Surge","Accelerator","https://vcdekho.com/funds/surge"
"y-combinator","Y Combinator","Accelerator","https://vcdekho.com/funds/y-combinator"
"techstars","Techstars","Accelerator","https://vcdekho.com/funds/techstars"
"500-global","500 Global","Venture Capital","https://vcdekho.com/funds/500-global"
"sosv","SOSV","Venture Capital","https://vcdekho.com/funds/sosv"
"jungle-ventures","Jungle Ventures","Venture Capital","https://vcdekho.com/funds/jungle-ventures"
"openspace-ventures","Openspace Ventures","Venture Capital","https://vcdekho.com/funds/openspace-ventures"
"wavemaker-partners","Wavemaker Partners","Venture Capital","https://vcdekho.com/funds/wavemaker-partners"
"golden-gate-ventures","Golden Gate Ventures","Venture Capital","https://vcdekho.com/funds/golden-gate-ventures"
"insignia-ventures-partners","Insignia Ventures Partners","Venture Capital","https://vcdekho.com/funds/insignia-ventures-partners"
"jafco-asia","JAFCO Asia","Venture Capital","https://vcdekho.com/funds/jafco-asia"
"pavilion-capital","Pavilion Capital","Venture Capital","https://vcdekho.com/funds/pavilion-capital"
"general-atlantic","General Atlantic","Private Equity","https://vcdekho.com/funds/general-atlantic"
"bessemer-venture-partners","Bessemer Venture Partners","Venture Capital","https://vcdekho.com/funds/bessemer-venture-partners"
"prosus-ventures","Prosus Ventures","Corporate / CVC","https://vcdekho.com/funds/prosus-ventures"
"naspers-foundry","Naspers Foundry","Corporate / CVC","https://vcdekho.com/funds/naspers-foundry"
"temasek","Temasek","Private Equity","https://vcdekho.com/funds/temasek"
"gic-private-limited","GIC Private Limited","Private Equity","https://vcdekho.com/funds/gic-private-limited"
"softbank-investment-advisers","SoftBank Investment Advisers","Venture Capital","https://vcdekho.com/funds/softbank-investment-advisers"
"softbank-ventures-asia","SoftBank Ventures Asia","Venture Capital","https://vcdekho.com/funds/softbank-ventures-asia"
"insight-partners","Insight Partners","Venture Capital","https://vcdekho.com/funds/insight-partners"
"coatue-management","Coatue Management","Venture Capital","https://vcdekho.com/funds/coatue-management"
"dst-global","DST Global","Venture Capital","https://vcdekho.com/funds/dst-global"
"dragoneer-investment-group","Dragoneer Investment Group","Venture Capital","https://vcdekho.com/funds/dragoneer-investment-group"
"blackstone-growth","Blackstone Growth","Private Equity","https://vcdekho.com/funds/blackstone-growth"
"warburg-pincus","Warburg Pincus","Private Equity","https://vcdekho.com/funds/warburg-pincus"
"kkr","KKR","Private Equity","https://vcdekho.com/funds/kkr"
"bain-capital","Bain Capital","Private Equity","https://vcdekho.com/funds/bain-capital"
"advent-international","Advent International","Private Equity","https://vcdekho.com/funds/advent-international"
"carlyle-group","Carlyle Group","Private Equity","https://vcdekho.com/funds/carlyle-group"
"apax-partners","Apax Partners","Private Equity","https://vcdekho.com/funds/apax-partners"
"creador","Creador","Private Equity","https://vcdekho.com/funds/creador"
"british-international-investment","British International Investment","Venture Capital","https://vcdekho.com/funds/british-international-investment"
"norfund","Norfund","Venture Capital","https://vcdekho.com/funds/norfund"
"fmo-entrepreneurial-development-bank","FMO Entrepreneurial Development Bank","Venture Capital","https://vcdekho.com/funds/fmo-entrepreneurial-development-bank"
"proparco","Proparco","Venture Capital","https://vcdekho.com/funds/proparco"
"michael-and-susan-dell-foundation","Michael & Susan Dell Foundation","Venture Capital","https://vcdekho.com/funds/michael-and-susan-dell-foundation"
"qualcomm-ventures","Qualcomm Ventures","Corporate / CVC","https://vcdekho.com/funds/qualcomm-ventures"
"intel-capital","Intel Capital","Corporate / CVC","https://vcdekho.com/funds/intel-capital"
"cisco-investments","Cisco Investments","Corporate / CVC","https://vcdekho.com/funds/cisco-investments"
"samsung-ventures","Samsung Ventures","Corporate / CVC","https://vcdekho.com/funds/samsung-ventures"
"m12","M12","Corporate / CVC","https://vcdekho.com/funds/m12"
"gradient-ventures","Gradient Ventures","Corporate / CVC","https://vcdekho.com/funds/gradient-ventures"
"amazon-smbhav-venture-fund","Amazon Smbhav Venture Fund","Corporate / CVC","https://vcdekho.com/funds/amazon-smbhav-venture-fund"
"sc-ventures","SC Ventures","Corporate / CVC","https://vcdekho.com/funds/sc-ventures"
"unilever-ventures","Unilever Ventures","Corporate / CVC","https://vcdekho.com/funds/unilever-ventures"
"brand-capital","Brand Capital","Corporate / CVC","https://vcdekho.com/funds/brand-capital"
"nazara-ventures","Nazara Ventures","Corporate / CVC","https://vcdekho.com/funds/nazara-ventures"
"sony-innovation-fund","Sony Innovation Fund","Corporate / CVC","https://vcdekho.com/funds/sony-innovation-fund"
"next47","next47","Corporate / CVC","https://vcdekho.com/funds/next47"
"se-ventures","SE Ventures","Corporate / CVC","https://vcdekho.com/funds/se-ventures"
"shell-ventures","Shell Ventures","Corporate / CVC","https://vcdekho.com/funds/shell-ventures"
"bp-ventures","BP Ventures","Corporate / CVC","https://vcdekho.com/funds/bp-ventures"
"breakthrough-energy-ventures","Breakthrough Energy Ventures","Venture Capital","https://vcdekho.com/funds/breakthrough-energy-ventures"
"lowercarbon-capital","Lowercarbon Capital","Venture Capital","https://vcdekho.com/funds/lowercarbon-capital"
"congruent-ventures","Congruent Ventures","Venture Capital","https://vcdekho.com/funds/congruent-ventures"
"energy-impact-partners","Energy Impact Partners","Venture Capital","https://vcdekho.com/funds/energy-impact-partners"
"qed-investors","QED Investors","Venture Capital","https://vcdekho.com/funds/qed-investors"
"valar-ventures","Valar Ventures","Venture Capital","https://vcdekho.com/funds/valar-ventures"
"thrive-capital","Thrive Capital","Venture Capital","https://vcdekho.com/funds/thrive-capital"
"new-enterprise-associates","New Enterprise Associates","Venture Capital","https://vcdekho.com/funds/new-enterprise-associates"
"andreessen-horowitz","Andreessen Horowitz","Venture Capital","https://vcdekho.com/funds/andreessen-horowitz"
"founders-fund","Founders Fund","Venture Capital","https://vcdekho.com/funds/founders-fund"
"ian-fund","IAN Fund","Venture Capital","https://vcdekho.com/funds/ian-fund"
"ciie-co","CIIE.CO","Accelerator","https://vcdekho.com/funds/ciie-co"
"t-hub","T-Hub","Accelerator","https://vcdekho.com/funds/t-hub"
"cie-iiit-hyderabad","CIE IIIT Hyderabad","Accelerator","https://vcdekho.com/funds/cie-iiit-hyderabad"
"zone-startups-india","Zone Startups India","Accelerator","https://vcdekho.com/funds/zone-startups-india"
"piramal-alternatives","Piramal Alternatives","Private Equity","https://vcdekho.com/funds/piramal-alternatives"
"edelweiss-alternative-asset-advisors","Edelweiss Alternative Asset Advisors","Private Equity","https://vcdekho.com/funds/edelweiss-alternative-asset-advisors"
"motilal-oswal-private-equity","Motilal Oswal Private Equity","Private Equity","https://vcdekho.com/funds/motilal-oswal-private-equity"
"jm-financial-private-equity","JM Financial Private Equity","Private Equity","https://vcdekho.com/funds/jm-financial-private-equity"
"point-nine-capital","Point Nine Capital","Venture Capital","https://vcdekho.com/funds/point-nine-capital"
"localglobe","LocalGlobe","Venture Capital","https://vcdekho.com/funds/localglobe"
"seedcamp","Seedcamp","Venture Capital","https://vcdekho.com/funds/seedcamp"
"atomico","Atomico","Venture Capital","https://vcdekho.com/funds/atomico"
"balderton-capital","Balderton Capital","Venture Capital","https://vcdekho.com/funds/balderton-capital"
"coinbase-ventures","Coinbase Ventures","Venture Capital","https://vcdekho.com/funds/coinbase-ventures"
"yzi-labs","YZi Labs","Venture Capital","https://vcdekho.com/funds/yzi-labs"
"polygon-ventures","Polygon Ventures","Venture Capital","https://vcdekho.com/funds/polygon-ventures"
"woodstock-fund","Woodstock Fund","Venture Capital","https://vcdekho.com/funds/woodstock-fund"
"pantera-capital","Pantera Capital","Venture Capital","https://vcdekho.com/funds/pantera-capital"
"paradigm","Paradigm","Venture Capital","https://vcdekho.com/funds/paradigm"
"sbi-investment","SBI Investment","Venture Capital","https://vcdekho.com/funds/sbi-investment"
"honda-ventures","Honda Ventures","Corporate / CVC","https://vcdekho.com/funds/honda-ventures"
"toyota-ventures","Toyota Ventures","Corporate / CVC","https://vcdekho.com/funds/toyota-ventures"
"hyundai-cradle","Hyundai CRADLE","Corporate / CVC","https://vcdekho.com/funds/hyundai-cradle"
"bosch-ventures","Bosch Ventures","Corporate / CVC","https://vcdekho.com/funds/bosch-ventures"
"hero-enterprise","Hero Enterprise","Corporate / CVC","https://vcdekho.com/funds/hero-enterprise"
"bajaj-labs-bajaj-finserv-ventures","Bajaj Labs / Bajaj Finserv Ventures","Corporate / CVC","https://vcdekho.com/funds/bajaj-labs-bajaj-finserv-ventures"
"invert-by-groww","Invert by Groww","Corporate / CVC","https://vcdekho.com/funds/invert-by-groww"
"dream-sports-ventures","Dream Sports Ventures","Corporate / CVC","https://vcdekho.com/funds/dream-sports-ventures"
"cipla-new-ventures","Cipla New Ventures","Corporate / CVC","https://vcdekho.com/funds/cipla-new-ventures"
"apollo-connect-apollo-hospitals-ventures","Apollo Connect / Apollo Hospitals Ventures","Corporate / CVC","https://vcdekho.com/funds/apollo-connect-apollo-hospitals-ventures"
"varanium-capital-advisors","Varanium Capital Advisors","Venture Capital","https://vcdekho.com/funds/varanium-capital-advisors"
"multicoin-capital","Multicoin Capital","Venture Capital","https://vcdekho.com/funds/multicoin-capital"
"mechanism-capital","Mechanism Capital","Venture Capital","https://vcdekho.com/funds/mechanism-capital"
"coindcx-ventures","CoinDCX Ventures","Corporate / CVC","https://vcdekho.com/funds/coindcx-ventures"
"sbi-caps-ventures-sbicap-ventures","SBI Caps Ventures / SBICAP Ventures","Venture Capital","https://vcdekho.com/funds/sbi-caps-ventures-sbicap-ventures"
"kerala-startup-mission","Kerala Startup Mission","Accelerator","https://vcdekho.com/funds/kerala-startup-mission"
"nsrcel","NSRCEL","Accelerator","https://vcdekho.com/funds/nsrcel"
"meity-startup-hub-genesis-partners","MeitY Startup Hub / GENESIS partners","Government Grant","https://vcdekho.com/funds/meity-startup-hub-genesis-partners"
"iifl-seed-venture-fund-iifl-pe","IIFL Seed Venture Fund / IIFL PE","Private Equity","https://vcdekho.com/funds/iifl-seed-venture-fund-iifl-pe"
"lighthouse-canton","Lighthouse Canton","Private Equity","https://vcdekho.com/funds/lighthouse-canton"
"totalenergies-ventures","TotalEnergies Ventures","Corporate / CVC","https://vcdekho.com/funds/totalenergies-ventures"
"nestl-ventures","Nestlé Ventures","Corporate / CVC","https://vcdekho.com/funds/nestl-ventures"
"marico-growth-ventures","Marico Growth Ventures","Corporate / CVC","https://vcdekho.com/funds/marico-growth-ventures"
"sun-pharma-ventures","Sun Pharma Ventures","Corporate / CVC","https://vcdekho.com/funds/sun-pharma-ventures"
"biocon-innovation-biocon-ventures","Biocon Innovation / Biocon Ventures","Corporate / CVC","https://vcdekho.com/funds/biocon-innovation-biocon-ventures"
"dr-reddy-s-ventures","Dr Reddy's Ventures","Corporate / CVC","https://vcdekho.com/funds/dr-reddy-s-ventures"
"lupin-digital-health-ventures","Lupin Digital Health Ventures","Corporate / CVC","https://vcdekho.com/funds/lupin-digital-health-ventures"
"upgrad-ventures","upGrad Ventures","Corporate / CVC","https://vcdekho.com/funds/upgrad-ventures"
"payu-ventures","PayU Ventures","Corporate / CVC","https://vcdekho.com/funds/payu-ventures"
"mitsubishi-ufj-capital","Mitsubishi UFJ Capital","Venture Capital","https://vcdekho.com/funds/mitsubishi-ufj-capital"
"delivery-hero-ventures","Delivery Hero Ventures","Corporate / CVC","https://vcdekho.com/funds/delivery-hero-ventures"
"accion-venture-lab","Accion Venture Lab","Venture Capital","https://vcdekho.com/funds/accion-venture-lab"
"villgro","Villgro","Accelerator","https://vcdekho.com/funds/villgro"
"iit-madras-incubation-cell","IIT Madras Incubation Cell","Accelerator","https://vcdekho.com/funds/iit-madras-incubation-cell"
"sine-iit-bombay","SINE IIT Bombay","Accelerator","https://vcdekho.com/funds/sine-iit-bombay"
"fitt-iit-delhi","FITT IIT Delhi","Accelerator","https://vcdekho.com/funds/fitt-iit-delhi"
"siic-iit-kanpur","SIIC IIT Kanpur","Accelerator","https://vcdekho.com/funds/siic-iit-kanpur"
"iim-calcutta-innovation-park","IIM Calcutta Innovation Park","Accelerator","https://vcdekho.com/funds/iim-calcutta-innovation-park"
"isb-dlabs-cel","ISB DLabs / CEL","Accelerator","https://vcdekho.com/funds/isb-dlabs-cel"
"startup-oasis","Startup Oasis","Accelerator","https://vcdekho.com/funds/startup-oasis"
"forge-innovation-and-ventures","Forge Innovation & Ventures","Accelerator","https://vcdekho.com/funds/forge-innovation-and-ventures"
"kiit-tbi","KIIT-TBI","Accelerator","https://vcdekho.com/funds/kiit-tbi"
"psg-step","PSG-STEP","Accelerator","https://vcdekho.com/funds/psg-step"
"nidhi-prayas","NIDHI PRAYAS","Government Grant","https://vcdekho.com/funds/nidhi-prayas"
"aic-smu-technology-business-incubation-foundation","AIC-SMU Technology Business Incubation Foundation","Accelerator","https://vcdekho.com/funds/aic-smu-technology-business-incubation-foundation"
"nasscom-10000-startups","NASSCOM 10000 Startups","Accelerator","https://vcdekho.com/funds/nasscom-10000-startups"
"nativelead-foundation-nativelead-angels","Nativelead Foundation / Nativelead Angels","Syndicate / Network","https://vcdekho.com/funds/nativelead-foundation-nativelead-angels"
"tie-delhi-ncr-angels","TiE Delhi-NCR Angels","Syndicate / Network","https://vcdekho.com/funds/tie-delhi-ncr-angels"
"tie-bangalore-angels","TiE Bangalore Angels","Syndicate / Network","https://vcdekho.com/funds/tie-bangalore-angels"
"tie-mumbai-angels","TiE Mumbai Angels","Syndicate / Network","https://vcdekho.com/funds/tie-mumbai-angels"
"tie-hyderabad-angels","TiE Hyderabad Angels","Syndicate / Network","https://vcdekho.com/funds/tie-hyderabad-angels"
"tie-chennai-angels","TiE Chennai Angels","Syndicate / Network","https://vcdekho.com/funds/tie-chennai-angels"
"iamai-angel-network","IAMAI Angel Network","Syndicate / Network","https://vcdekho.com/funds/iamai-angel-network"
"jito-angel-network","JITO Angel Network","Syndicate / Network","https://vcdekho.com/funds/jito-angel-network"
"bangalore-bioinnovation-centre-angels-bbc","Bangalore Bioinnovation Centre Angels / BBC","Accelerator","https://vcdekho.com/funds/bangalore-bioinnovation-centre-angels-bbc"
"caspian-impact-investments","Caspian Impact Investments","Venture Capital","https://vcdekho.com/funds/caspian-impact-investments"
"hdfc-capital","HDFC Capital","Venture Capital","https://vcdekho.com/funds/hdfc-capital"
"tata-capital-innovations","Tata Capital Innovations","Corporate / CVC","https://vcdekho.com/funds/tata-capital-innovations"
"niif","NIIF","Venture Capital","https://vcdekho.com/funds/niif"
"nabkisan-finance-nabard-ecosystem","NABKISAN Finance / NABARD ecosystem","Venture Capital","https://vcdekho.com/funds/nabkisan-finance-nabard-ecosystem"
"wipro-ventures","Wipro Ventures","Corporate / CVC","https://vcdekho.com/funds/wipro-ventures"
"zoho-investments","Zoho Investments","Corporate / CVC","https://vcdekho.com/funds/zoho-investments"
"freshworks-capital","Freshworks Capital","Corporate / CVC","https://vcdekho.com/funds/freshworks-capital"
"postman-capital","Postman Capital","Corporate / CVC","https://vcdekho.com/funds/postman-capital"
"browserstack-investments","BrowserStack Investments","Corporate / CVC","https://vcdekho.com/funds/browserstack-investments"
"chargebee-investments","Chargebee Investments","Corporate / CVC","https://vcdekho.com/funds/chargebee-investments"
"infosys-innovation-fund","Infosys Innovation Fund","Corporate / CVC","https://vcdekho.com/funds/infosys-innovation-fund"
"tcs-co-innovation-tcs-ventures","TCS Co-Innovation / TCS Ventures","Corporate / CVC","https://vcdekho.com/funds/tcs-co-innovation-tcs-ventures"
"tech-mahindra-ventures","Tech Mahindra Ventures","Corporate / CVC","https://vcdekho.com/funds/tech-mahindra-ventures"
"hcl-software-investments","HCL Software Investments","Corporate / CVC","https://vcdekho.com/funds/hcl-software-investments"
"l-and-t-technology-services-ventures","L&T Technology Services Ventures","Corporate / CVC","https://vcdekho.com/funds/l-and-t-technology-services-ventures"
"mphasis-next-labs-investments","Mphasis NEXT Labs Investments","Corporate / CVC","https://vcdekho.com/funds/mphasis-next-labs-investments"
"persistent-ventures","Persistent Ventures","Corporate / CVC","https://vcdekho.com/funds/persistent-ventures"
"mindtree-ventures-ltimindtree-investments","Mindtree Ventures / LTIMindtree Investments","Corporate / CVC","https://vcdekho.com/funds/mindtree-ventures-ltimindtree-investments"
"birlasoft-ventures","Birlasoft Ventures","Corporate / CVC","https://vcdekho.com/funds/birlasoft-ventures"
"citiustech-investments","CitiusTech Investments","Corporate / CVC","https://vcdekho.com/funds/citiustech-investments"
"godrej-family-office","Godrej Family Office","Family Office","https://vcdekho.com/funds/godrej-family-office"
"bharti-family-office","Bharti Family Office","Family Office","https://vcdekho.com/funds/bharti-family-office"
"murugappa-family-office","Murugappa Family Office","Family Office","https://vcdekho.com/funds/murugappa-family-office"
"goenka-family-office","Goenka Family Office","Family Office","https://vcdekho.com/funds/goenka-family-office"
"bajaj-family-office","Bajaj Family Office","Family Office","https://vcdekho.com/funds/bajaj-family-office"
"piramal-family-office","Piramal Family Office","Family Office","https://vcdekho.com/funds/piramal-family-office"
"amansa-holdings","Amansa Holdings","Family Office","https://vcdekho.com/funds/amansa-holdings"
"malabar-investments","Malabar Investments","Family Office","https://vcdekho.com/funds/malabar-investments"
"rohit-bansal","Rohit Bansal","Angel / Individual","https://vcdekho.com/funds/rohit-bansal"
"binny-bansal","Binny Bansal","Angel / Individual","https://vcdekho.com/funds/binny-bansal"
"sachin-bansal","Sachin Bansal","Angel / Individual","https://vcdekho.com/funds/sachin-bansal"
"falguni-nayar","Falguni Nayar","Angel / Individual","https://vcdekho.com/funds/falguni-nayar"
"peyush-bansal","Peyush Bansal","Angel / Individual","https://vcdekho.com/funds/peyush-bansal"
"aman-gupta","Aman Gupta","Angel / Individual","https://vcdekho.com/funds/aman-gupta"
"deepinder-goyal","Deepinder Goyal","Angel / Individual","https://vcdekho.com/funds/deepinder-goyal"
"bhavish-aggarwal","Bhavish Aggarwal","Angel / Individual","https://vcdekho.com/funds/bhavish-aggarwal"
"harshil-mathur","Harshil Mathur","Angel / Individual","https://vcdekho.com/funds/harshil-mathur"
"shashank-kumar","Shashank Kumar","Angel / Individual","https://vcdekho.com/funds/shashank-kumar"
"vidit-aatrey","Vidit Aatrey","Angel / Individual","https://vcdekho.com/funds/vidit-aatrey"
"sanjay-sethi","Sanjay Sethi","Angel / Individual","https://vcdekho.com/funds/sanjay-sethi"
"mukesh-bansal","Mukesh Bansal","Angel / Individual","https://vcdekho.com/funds/mukesh-bansal"
"sujeet-kumar","Sujeet Kumar","Angel / Individual","https://vcdekho.com/funds/sujeet-kumar"
"girish-mathrubootham","Girish Mathrubootham","Angel / Individual","https://vcdekho.com/funds/girish-mathrubootham"
"rajan-anandan","Rajan Anandan","Angel / Individual","https://vcdekho.com/funds/rajan-anandan"
"alok-mittal","Alok Mittal","Angel / Individual","https://vcdekho.com/funds/alok-mittal"
"aprameya-radhakrishna","Aprameya Radhakrishna","Angel / Individual","https://vcdekho.com/funds/aprameya-radhakrishna"
"neeraj-arora","Neeraj Arora","Angel / Individual","https://vcdekho.com/funds/neeraj-arora"
"sharad-sharma","Sharad Sharma","Angel / Individual","https://vcdekho.com/funds/sharad-sharma"
"ashish-kashyap","Ashish Kashyap","Angel / Individual","https://vcdekho.com/funds/ashish-kashyap"
"phanindra-sama","Phanindra Sama","Angel / Individual","https://vcdekho.com/funds/phanindra-sama"
"varun-alagh","Varun Alagh","Angel / Individual","https://vcdekho.com/funds/varun-alagh"
"ghazal-alagh","Ghazal Alagh","Angel / Individual","https://vcdekho.com/funds/ghazal-alagh"
"ankur-warikoo","Ankur Warikoo","Angel / Individual","https://vcdekho.com/funds/ankur-warikoo"
"radhika-gupta","Radhika Gupta","Angel / Individual","https://vcdekho.com/funds/radhika-gupta"
"nithin-kamath","Nithin Kamath","Angel / Individual","https://vcdekho.com/funds/nithin-kamath"
