slug,name,type,url
"airavat-capital","Airavat Capital","Venture Capital","https://vcdekho.com/funds/airavat-capital"
"venturi-partners","Venturi Partners","Venture Capital","https://vcdekho.com/funds/venturi-partners"
"athena","Athena","Venture Capital","https://vcdekho.com/funds/athena"
"capital-a","Capital-A","Venture Capital","https://vcdekho.com/funds/capital-a"
"sanchiconnect","SanchiConnect","Venture Capital","https://vcdekho.com/funds/sanchiconnect"
"ankur-capital-fund","Ankur Capital Fund","Venture Capital","https://vcdekho.com/funds/ankur-capital-fund"
"aavishkaar-capital","Aavishkaar Capital","Venture Capital","https://vcdekho.com/funds/aavishkaar-capital"
"senseai-ventures","SenseAI Ventures","Venture Capital","https://vcdekho.com/funds/senseai-ventures"
"veltis-capital","Veltis Capital","Venture Capital","https://vcdekho.com/funds/veltis-capital"
"multiple-ventures","Multiple Ventures","Venture Capital","https://vcdekho.com/funds/multiple-ventures"
"golden-sparrow","Golden Sparrow","Syndicate / Network","https://vcdekho.com/funds/golden-sparrow"
"ideaspring-capital","Ideaspring Capital","Venture Capital","https://vcdekho.com/funds/ideaspring-capital"
"ajvc","AJVC","Venture Capital","https://vcdekho.com/funds/ajvc"
"java-capital","Java Capital","Venture Capital","https://vcdekho.com/funds/java-capital"
"speciale-invest","Speciale Invest","Venture Capital","https://vcdekho.com/funds/speciale-invest"
"fireside-ventures","Fireside Ventures","Venture Capital","https://vcdekho.com/funds/fireside-ventures"
"z47","Z47","Venture Capital","https://vcdekho.com/funds/z47"
"lumikai-fund","Lumikai Fund","Venture Capital","https://vcdekho.com/funds/lumikai-fund"
"rukam-capital","Rukam Capital","Venture Capital","https://vcdekho.com/funds/rukam-capital"
"a91-partners","A91 Partners","Venture Capital","https://vcdekho.com/funds/a91-partners"
"tpg-newquest","TPG NewQuest","Private Equity","https://vcdekho.com/funds/tpg-newquest"
"12-flags","12 Flags","Venture Capital","https://vcdekho.com/funds/12-flags"
"multiples-alternate-asset-management","Multiples Alternate Asset Management","Private Equity","https://vcdekho.com/funds/multiples-alternate-asset-management"
"avendus","Avendus","Private Equity","https://vcdekho.com/funds/avendus"
"the-fundamentum-partnership","The Fundamentum Partnership","Venture Capital","https://vcdekho.com/funds/the-fundamentum-partnership"
"whiteboard-capital","Whiteboard Capital","Venture Capital","https://vcdekho.com/funds/whiteboard-capital"
