slug,name,company,url
"abhilasha-purwar","Abhilasha Purwar","Hunch Ventures & Investments Pvt Ltd","https://vcdekho.com/investors/abhilasha-purwar"
"gaurav-gulati","Gaurav Gulati","Aroa Venture Partners","https://vcdekho.com/investors/gaurav-gulati"
"prerna-singh","Prerna Singh","Aroa Venture Partners","https://vcdekho.com/investors/prerna-singh"
"utkarsh-gupta-cfa","Utkarsh Gupta, CFA","Aakash Emprise Pvt Ltd","https://vcdekho.com/investors/utkarsh-gupta-cfa"
"eshaan-kulshreshtha","Eshaan Kulshreshtha","Aakash Emprise Pvt Ltd","https://vcdekho.com/investors/eshaan-kulshreshtha"
"dhruv-sane","Dhruv Sane","Malpani Ventures","https://vcdekho.com/investors/dhruv-sane"
"rahil-shah","Rahil Shah","Malpani Ventures","https://vcdekho.com/investors/rahil-shah"
"siddharth-pai","Siddharth Pai","Siana Capital","https://vcdekho.com/investors/siddharth-pai"
"dinesh-goel","Dinesh Goel","Siana Capital","https://vcdekho.com/investors/dinesh-goel"
"archana-hingorani","Archana Hingorani","Siana Capital","https://vcdekho.com/investors/archana-hingorani"
"nithin-kamath","Nithin Kamath","Rainmatter","https://vcdekho.com/investors/nithin-kamath"
"archana-priyadarshini","Archana Priyadarshini","Endurance Capital","https://vcdekho.com/investors/archana-priyadarshini"
"amit-singal","Amit Singal","Easy Knowledge Club","https://vcdekho.com/investors/amit-singal"
"manish-aggarwal","Manish Aggarwal","Fluid Ventures","https://vcdekho.com/investors/manish-aggarwal"
"r-m-anish","R M Anish","GSF","https://vcdekho.com/investors/r-m-anish"
"nirmal-shah","Nirmal Shah","GSF","https://vcdekho.com/investors/nirmal-shah"
"aakash-kushwaha","Aakash Kushwaha","ZeCa Capital","https://vcdekho.com/investors/aakash-kushwaha"
"shreya-ravi","Shreya Ravi","ZeCa Capital","https://vcdekho.com/investors/shreya-ravi"
"pawan-raj-kumar","Pawan Raj Kumar","ZeCa Capital","https://vcdekho.com/investors/pawan-raj-kumar"
"anil-joshi","Anil Joshi","Unicorn India Ventures","https://vcdekho.com/investors/anil-joshi"
"pulkit-mehrotra","Pulkit Mehrotra","Unicorn India Ventures","https://vcdekho.com/investors/pulkit-mehrotra"
"bhaskar-majumdar","Bhaskar Majumdar","Unicorn India Ventures","https://vcdekho.com/investors/bhaskar-majumdar"
"sandeep-chawda","Sandeep Chawda","Pentathlon Ventures","https://vcdekho.com/investors/sandeep-chawda"
"abhinav-mahipal","Abhinav Mahipal","Pentathlon Ventures","https://vcdekho.com/investors/abhinav-mahipal"
"madhukar-bhatia","Madhukar Bhatia","Pentathlon Ventures","https://vcdekho.com/investors/madhukar-bhatia"
"manoj-kumar-agarwal","MANOJ KUMAR AGARWAL","seafund","https://vcdekho.com/investors/manoj-kumar-agarwal"
"narendra-bhandari","Narendra Bhandari","seafund","https://vcdekho.com/investors/narendra-bhandari"
"agam-gupta","Agam Gupta","seafund","https://vcdekho.com/investors/agam-gupta"
"vishvas-shah","Vishvas Shah","IIMA Ventures","https://vcdekho.com/investors/vishvas-shah"
"vaas-bhaskar","Vaas Bhaskar","Elevation Capital","https://vcdekho.com/investors/vaas-bhaskar"
"akhil-andasu","Akhil Andasu","Elevation Capital","https://vcdekho.com/investors/akhil-andasu"
"aashish-gupta","Aashish Gupta","IvyCap Ventures","https://vcdekho.com/investors/aashish-gupta"
"aniketh-mj","Aniketh MJ","IvyCap Ventures","https://vcdekho.com/investors/aniketh-mj"
"madhur-makkar","Madhur Makkar","RTP Global","https://vcdekho.com/investors/madhur-makkar"
"shunyam-gupta","Shunyam Gupta","RTP Global","https://vcdekho.com/investors/shunyam-gupta"
"manasi-shah","Manasi Shah","Accel","https://vcdekho.com/investors/manasi-shah"
"subrata-mitra","Subrata Mitra","Accel","https://vcdekho.com/investors/subrata-mitra"
"sarthak-singh","Sarthak Singh","Accel","https://vcdekho.com/investors/sarthak-singh"
"kartik-gupta","Kartik Gupta","Sales Force Ventures","https://vcdekho.com/investors/kartik-gupta"
"yug-shah","Yug Shah","8i Ventures","https://vcdekho.com/investors/yug-shah"
"muskaan-khilnani","Muskaan Khilnani","8i Ventures","https://vcdekho.com/investors/muskaan-khilnani"
"raghav-krishna-iyer","Raghav  Krishna Iyer","3one4 Capital","https://vcdekho.com/investors/raghav-krishna-iyer"
"prahlad-narayanan","Prahlad Narayanan","3one4 Capital","https://vcdekho.com/investors/prahlad-narayanan"
"dhwani-nanavati","Dhwani Nanavati","3one4 Capital","https://vcdekho.com/investors/dhwani-nanavati"
"poojit-jain","Poojit Jain","Eaglewings Ventures","https://vcdekho.com/investors/poojit-jain"
"shashank-randev","Shashank Randev","247VC","https://vcdekho.com/investors/shashank-randev"
"yagnesh-sanghrajka","Yagnesh Sanghrajka","247VC","https://vcdekho.com/investors/yagnesh-sanghrajka"
"gobind-sayal","Gobind Sayal","Bharat Founders Fund","https://vcdekho.com/investors/gobind-sayal"
"maanav-sagar","Maanav Sagar","Bharat Founders Fund","https://vcdekho.com/investors/maanav-sagar"
"radika-agarwal","Radika Agarwal","Good Capital","https://vcdekho.com/investors/radika-agarwal"
"sharvi-dubey","Sharvi Dubey","Good Capital","https://vcdekho.com/investors/sharvi-dubey"
"nikhil-bhandarkar","Nikhil Bhandarkar","Panthera Peak","https://vcdekho.com/investors/nikhil-bhandarkar"
"tanya-gupta","Tanya Gupta","peercheque","https://vcdekho.com/investors/tanya-gupta"
"arjit-johri","Arjit Johri","Mars Shot Ventures","https://vcdekho.com/investors/arjit-johri"
"shashank-mehta","Shashank Mehta","Mars Shot Ventures","https://vcdekho.com/investors/shashank-mehta"
"kunal-suri","Kunal Suri","OTP Ventures","https://vcdekho.com/investors/kunal-suri"
"suhail-sameer","Suhail Sameer","OTP Ventures","https://vcdekho.com/investors/suhail-sameer"
"saurabh-vashishtha","Saurabh Vashishtha","OTP Ventures","https://vcdekho.com/investors/saurabh-vashishtha"
"arjun-vaidya","Arjun Vaidya","V3 Ventures","https://vcdekho.com/investors/arjun-vaidya"
"abhiram-bhalerao","Abhiram Bhalerao","V3 Ventures","https://vcdekho.com/investors/abhiram-bhalerao"
"ashish-lingamneni","Ashish Lingamneni","V3 Ventures","https://vcdekho.com/investors/ashish-lingamneni"
"udit-kumar","Udit Kumar","Neon Fund","https://vcdekho.com/investors/udit-kumar"
"aneet-singh","Aneet Singh","Neon Fund","https://vcdekho.com/investors/aneet-singh"
"ishaan-khosla","Ishaan Khosla","Huddle Ventures","https://vcdekho.com/investors/ishaan-khosla"
"sanil-sachar","Sanil Sachar","Huddle Ventures","https://vcdekho.com/investors/sanil-sachar"
"sarthak-rastogi","Sarthak Rastogi","Huddle Ventures","https://vcdekho.com/investors/sarthak-rastogi"
"aditya-singh","Aditya Singh","All In Capital","https://vcdekho.com/investors/aditya-singh"
"simran-patel","Simran Patel","All In Capital","https://vcdekho.com/investors/simran-patel"
"saptarishi-sen","Saptarishi Sen","Prath Ventures","https://vcdekho.com/investors/saptarishi-sen"
"harmanpreet-singh","Harmanpreet Singh","Prath Ventures","https://vcdekho.com/investors/harmanpreet-singh"
"piyush-goenka","Piyush Goenka","Prath Ventures","https://vcdekho.com/investors/piyush-goenka"
"rishabh-singh","Rishabh Singh","Aeravti Ventures","https://vcdekho.com/investors/rishabh-singh"
"shubham-jhuria","Shubham Jhuria","Aeravti Ventures","https://vcdekho.com/investors/shubham-jhuria"
"vivek-sivanandam","Vivek Sivanandam","Bulleon Ventures","https://vcdekho.com/investors/vivek-sivanandam"
"raveen-sastry","Raveen Sastry","Multiply Ventures","https://vcdekho.com/investors/raveen-sastry"
"shruti-gupta-singhal","Shruti Gupta  Singhal","Multiply Ventures","https://vcdekho.com/investors/shruti-gupta-singhal"
"sanjay-ramakrishnan","Sanjay Ramakrishnan","Multiply Ventures","https://vcdekho.com/investors/sanjay-ramakrishnan"
"nikhil-mishra","Nikhil Mishra","Warmup Ventures","https://vcdekho.com/investors/nikhil-mishra"
"ajish-rahman","Ajish Rahman","Mount Judi Ventures","https://vcdekho.com/investors/ajish-rahman"
"praharsh-shahi","Praharsh Shahi","Mount Judi Ventures","https://vcdekho.com/investors/praharsh-shahi"
"kamini-s","Kamini S","Gemba Capital","https://vcdekho.com/investors/kamini-s"
"mihir-jha","Mihir Jha","PointOne Capital","https://vcdekho.com/investors/mihir-jha"
"manraj-singh-sandhu","Manraj Singh Sandhu","Vicus Ventures","https://vcdekho.com/investors/manraj-singh-sandhu"
"sarah-du","Sarah Du","Uncork Capital","https://vcdekho.com/investors/sarah-du"
"jake-knapp","Jake Knapp","Character","https://vcdekho.com/investors/jake-knapp"
"eli-blee-goldman","Eli Blee-Goldman","Character","https://vcdekho.com/investors/eli-blee-goldman"
"zach-ellis-jr","Zach Ellis, Jr.","South Loop Ventures","https://vcdekho.com/investors/zach-ellis-jr"
"brian-li","Brian Li","A100x Ventures","https://vcdekho.com/investors/brian-li"
"alexey-bulygin","Alexey Bulygin","Verb Ventures","https://vcdekho.com/investors/alexey-bulygin"
"alexander-chikunov","Alexander Chikunov","Verb Ventures","https://vcdekho.com/investors/alexander-chikunov"
"ashish-kakran","Ashish Kakran","Sierra Ventures","https://vcdekho.com/investors/ashish-kakran"
"mark-fernandes","Mark Fernandes","Sierra Ventures","https://vcdekho.com/investors/mark-fernandes"
"ben-y","Ben Y.","Sierra Ventures","https://vcdekho.com/investors/ben-y"
"darshit-vora","Darshit Vora","Sparrow Capital","https://vcdekho.com/investors/darshit-vora"
"rohit-krishna","Rohit Krishna","WEH Ventures","https://vcdekho.com/investors/rohit-krishna"
"deepak-gupta","Deepak Gupta","WEH Ventures","https://vcdekho.com/investors/deepak-gupta"
"suraj-subramaniam","Suraj Subramaniam","Airavat Capital","https://vcdekho.com/investors/suraj-subramaniam"
"rohit-bhat","Rohit Bhat","Airavat Capital","https://vcdekho.com/investors/rohit-bhat"
"ashutosh-desai","Ashutosh Desai","Airavat Capital","https://vcdekho.com/investors/ashutosh-desai"
"navin-honagudi","Navin Honagudi","Elev8 Venture Partners","https://vcdekho.com/investors/navin-honagudi"
"anil-g-jain","Anil G Jain","Elev8 Venture Partners","https://vcdekho.com/investors/anil-g-jain"
"sarvesh-nevatia","Sarvesh Nevatia","Venturi Partners","https://vcdekho.com/investors/sarvesh-nevatia"
